,number,name,group,subtopic,item_stem,responses
0,Q1,Important in life: Family,Important in life,Family,"For each of the following aspects, indicate how important it is in your life. Would you 
say it is very important, rather important, not very important or not important at all? – 
Family","['1.- Very important', '2.- Rather important', '3.- Not very important', '4.- Not at all important', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in this country', '-5-.- Missing; Not available']"
1,Q2,Important in life: Friends,Important in life,Friends,"For each of the following aspects, indicate how important it is in your life. Would you 
say it is very important, rather important, not very important or not important at all? – 
Friends","['1.- Very important', '2.- Rather important', '3.- Not very important', '4.- Not at all important', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in this country', '-5-.- Missing; Not available']"
2,Q3,Important in life: Leisure time,Important in life,Leisure time,"For each of the following aspects, indicate how important it is in your life. Would you 
say it is very important, rather important, not very important or not important at all? – 
Leisure time","['1.- Very important', '2.- Rather important', '3.- Not very important', '4.- Not at all important', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in this country', '-5-.- Missing; Not available']"
3,Q4,Important in life: Politics,Important in life,Politics,"For each of the following aspects, indicate how important it is in your life. Would you 
say it is very important, rather important, not very important or not important at all? – 
Politics","['1.- Very important', '2.- Rather important', '3.- Not very important', '4.- Not at all important', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in this country', '-5-.- Missing; Not available']"
4,Q5,Important in life: Work,Important in life,Work,"For each of the following aspects, indicate how important it is in your life. Would you 
say it is very important, rather important, not very important or not important at all? – 
Work","['1.- Very important', '2.- Rather important', '3.- Not very important', '4.- Not at all important', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in this country', '-5-.- Missing; Not available']"
5,Q6,Important in life: Religion,Important in life,Religion,"For each of the following aspects, indicate how important it is in your life. Would you 
say it is very important, rather important, not very important or not important at all? – 
Religion","['1.- Very important', '2.- Rather important', '3.- Not very important', '4.- Not at all important', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in this country', '-5-.- Missing; Not available']"
6,Q7,Important child qualities: Good manners,Important child qualities,Good manners,"Here is a list of qualities that children can be encouraged to learn at home. Which, if 
any, do you consider to be especially important? Please choose up to five. –  
Good manners","['2.- Not mentioned', '1.- Important', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in this country', '-5-.- Missing; Not available']"
7,Q8,Important child qualities: Independence,Important child qualities,Independence,"Here is a list of qualities that children can be encouraged to learn at home. Which, if 
any, do you consider to be especially important? Please choose up to five. – 
Independence","['2.- Not mentioned', '1.- Important', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in this country', '-5-.- Missing; Not available']"
8,Q9,Important child qualities: Hard work,Important child qualities,Hard work,"Here is a list of qualities that children can be encouraged to learn at home. Which, if 
any, do you consider to be especially important? Please choose up to five. –  
Hard work","['2.- Not mentioned', '1.- Important', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in this country', '-5-.- Missing; Not available']"
9,Q10,Important child qualities: Feeling of responsibility,Important child qualities,Feeling of responsibility,"Here is a list of qualities that children can be encouraged to learn at home. Which, if 
any, do you consider to be especially important? Please choose up to five. –  
Feeling of responsibility","['2.- Not mentioned', '1.- Important', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in this country', '-5-.- Missing; Not available']"
10,Q11,Important child qualities: Imagination,Important child qualities,Imagination,"Here is a list of qualities that children can be encouraged to learn at home. Which, if 
any, do you consider to be especially important? Please choose up to five. –  
Imagination","['2.- Not mentioned', '1.- Important', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in this country', '-5-.- Missing; Not available']"
11,Q12,Important child qualities: Tolerance and respect for other people,Important child qualities,Tolerance and respect for other people,"Here is a list of qualities that children can be encouraged to learn at home. Which, if 
any, do you consider to be especially important? Please choose up to five. –  
Tolerance and respect for other people","['2.- Not mentioned', '1.- Important', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in this country', '-5-.- Missing; Not available']"
12,Q13,Important child qualities: Thrift saving money and things,Important child qualities,Thrift saving money and things,"Here is a list of qualities that children can be encouraged to learn at home. Which, if 
any, do you consider to be especially important? Please choose up to five. – 
Thrift saving money and things","['2.- Not mentioned', '1.- Important', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in this country', '-5-.- Missing; Not available']"
13,Q14,Important child qualities: Determination perseverance,Important child qualities,Determination perseverance,"Here is a list of qualities that children can be encouraged to learn at home. Which, if 
any, do you consider to be especially important? Please choose up to five. – 
Determination, perseverance","['2.- Not mentioned', '1.- Important', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in this country', '-5-.- Missing; Not available']"
